station_public_id,province,inventory_l,price_krw_per_l,latitude,longitude,stock_status_color,observed_at,regional_demand_base_l,station_inventory_score,station_price_pressure_score,station_supply_priority_score,station_priority_rank,municipality_supply_availability_score,final_priority_score,final_priority_rank
STN-115,Incheon,2000,1380,37.3933359,126.7135585,GREEN,2021-12-28 08:01:32,20757939.40511667,0.4073033707865169,0.7134831460674157,55.88483146067416,109,0.5778822317269574,32.06716101632686,115
STN-116,Gyeonggi-do,1500,1142,37.3633525,127.3140785,GREEN,2021-12-28 13:56:16,96533521.76011252,0.5280898876404494,0.2808988764044944,66.16573033707866,71,0.5614627176163034,31.77332970351087,116
STN-117,Gyeonggi-do,1500,597,37.0980136,127.4338508,YELLOW,2021-12-28 11:39:51,96533521.76011252,0.8089887640449438,0.2808988764044944,73.18820224719101,47,0.1901990125191858,31.168930876343005,117
STN-118,Gyeonggi-do,2000,800,37.1496698,127.6260879,YELLOW,2021-12-28 09:18:10,96533521.76011252,0.7331460674157304,0.7134831460674157,77.7808988764045,16,0.2855633534167746,30.854637622926205,118
STN-119,Incheon,1500,1756,37.5125123,126.649565,GREEN,2021-12-28 13:45:00,20757939.40511667,0.2528089887640449,0.2808988764044944,45.53370786516854,153,0.5944993376057989,30.73447579171196,119
STN-120,Incheon,1500,2510,37.49267739,126.6482962,GREEN,2021-12-28 12:02:05,20757939.40511667,0.1067415730337079,0.2808988764044944,31.882022471910112,161,0.5944993376057989,30.73447579171196,120
STN-121,Incheon,1200,1000,37.4847304,126.6633538,GREEN,2021-12-28 11:52:26,20757939.40511667,0.5926966292134832,0.0365168539325842,50.36516853932584,138,0.5944993376057989,28.484475791711954,121
STN-122,Incheon,1200,1350,37.4919538,126.660666,GREEN,2021-12-28 12:17:06,20757939.40511667,0.4269662921348315,0.0365168539325842,46.22191011235955,148,0.5944993376057989,28.484475791711954,122
STN-123,Gyeonggi-do,2000,837,37.1622877,127.0674367,YELLOW,2021-12-28 12:35:11,96533521.76011252,0.7134831460674158,0.7134831460674157,77.28932584269664,19,0.4824995797949618,28.35140505556216,123
STN-124,Gyeonggi-do,1900,870,37.2443924,127.3620482,YELLOW,2021-12-28 11:25:28,96533521.76011252,0.696629213483146,0.497191011235955,73.62359550561798,45,0.2855633534167746,27.6546376229262,124
STN-125,Gyeonggi-do,2000,980,37.2120927,127.5419906,YELLOW,2021-12-28 11:02:23,96533521.76011252,0.6235955056179776,0.7134831460674157,75.04213483146069,37,0.449432358530365,27.461712727872307,125
STN-126,Gyeonggi-do,2000,1156,38.0310553,127.2604732,GREEN,2021-12-28 13:59:37,96533521.76011252,0.5224719101123596,0.7134831460674157,72.51404494382024,53,0.436887371514083,26.11056326701752,126
STN-127,Gyeonggi-do,2000,2349,37.891487,127.2015029,GREEN,2021-12-28 12:54:54,96533521.76011252,0.1235955056179775,0.7134831460674157,52.542134831460686,123,0.436887371514083,26.11056326701752,127
